,학교명,위도,경도,주변_상권_코드_명,주변_상권_코드,주변_상권_엑스좌표_값,주변_상권_와이좌표_값,주변_상권_거리
62,단국대학교사범대학부속고등학교,37.49561749,127.0577682,한티역,3120212,204740,444220,419.59550692882334
63,서울공진초등학교,37.55780477,126.8226104,강서구다솔마을,3110643,183982,450681,427.60297483223803
64,서울영화초등학교,37.50890811,126.9329735,노량진역 6번,3110828,194358,445728,367.5111406682219
65,서울자곡초등학교,37.47219072,127.0996665,윗방죽마을공원,3110999,209190,441356,379.5176243771632
66,세화여자중학교,37.5019828,126.99423,서초소방서,3110917,199357,444216,525.2685577819764
67,인헌중학교,37.47269621,126.9688402,인헌고등학교(인헌중학교),3110901,197183,441216,265.2531618384227
68,성심여자중학교,37.53420937,126.9545934,성심여자고등학교,3110058,195949,448136,170.13704560286013
69,서울위례솔초등학교,37.48663746,127.1509109,개미어린이공원,3111045,213176,443573,567.5401005690795
70,위례솔중학교,37.48738292,127.1503042,개미어린이공원,3111045,213176,443573,473.2748247988813
71,서울마천초등학교,37.49550545,127.1526295,마천역(마천초등학교),3111046,213476,444071,58.71001489231422
72,은광여자고등학교,37.48837857,127.0352324,은광여고,3110960,203027,443113,135.22891035689923
73,서울신성초등학교,37.47200331,126.9367542,신성초등학교,3110882,194361,441512,121.6428053250457
74,서울가주초등학교,37.49656722,127.1292617,오금역 4번,3111029,211264,444277,221.49702155931496
75,선덕고등학교,37.65634868,127.0268766,연산군묘,3110386,202103,462367,576.0853889928597
76,안천중학교,37.45952426,126.8874988,독산역 1번 출입구,3110727,190387,440588,664.0466802668416
77,서울잠일초등학교,37.51474166,127.0816362,잠실새내역(신천),3120225,207301,445671,479.74791558225536
78,홍익디자인고등학교,37.56351064,126.9191663,경성고등학교,3110558,192565,451651,308.2755382506961
79,영락고등학교,37.47654259,126.9454164,청룡동주민센터,3110888,195012,442181,321.52669219765556
80,오주중학교,37.50150661,127.1362653,오금공원(오주중학교),3111035,211906,444832,208.70481652707122
81,대광고등학교,37.57795467,127.0253235,한국의류시험연구원,3110183,202502,453159,265.10057646175665
82,서울원묵초등학교,37.61774881,127.0868142,화랑대역 7번,3110250,207225,457577,439.5147601413194
